date,vcrix
2020-01-01,564.354535087212
2020-01-02,560.90817451862
2020-01-03,558.5923967576
2020-01-04,574.417128409528
2020-01-05,615.550023582957
2020-01-06,609.210350844977
2020-01-07,605.162427193801
2020-01-08,654.166466133852
2020-01-09,669.28464536007
2020-01-10,663.84604396929
2020-01-11,668.799635087144
2020-01-12,687.488086414531
2020-01-13,687.490622781958
2020-01-14,689.081316486363
2020-01-15,679.75088608421
2020-01-16,814.302467100332
2020-01-17,786.732133353831
2020-01-18,741.727183212751
2020-01-19,672.915578416055
2020-01-20,667.416547545932
2020-01-21,680.060958759704
2020-01-22,674.400924759909
2020-01-23,661.22667366531
2020-01-24,652.298370448517
2020-01-25,685.544499225848
2020-01-26,684.675522909155
2020-01-27,688.648935961447
2020-01-28,696.174636992522
2020-01-29,703.866652419889
2020-01-30,718.361542081266
2020-01-31,708.971655359287
2020-02-01,708.971655359287
2020-02-02,722.56567963173
2020-02-03,698.81769528669
2020-02-04,679.165717260079
2020-02-05,680.430338088414
2020-02-06,685.340206353266
2020-02-07,679.6707631317
2020-02-08,673.236667477973
2020-02-09,667.843903239797
2020-02-10,653.675257760748
2020-02-11,644.333157624057
2020-02-12,656.49187103114
2020-02-13,665.934185095225
2020-02-14,667.080126552567
2020-02-15,510.253381435721
2020-02-16,509.948082953438
2020-02-17,568.462524691703
2020-02-18,549.649924014454
2020-02-19,555.206142258601
2020-02-20,565.284187544904
2020-02-21,634.594823968345
2020-02-22,634.49674957778
2020-02-23,632.724853204556
2020-02-24,608.700030522876
2020-02-25,618.913854441248
2020-02-26,637.610994234133
2020-02-27,652.222272874726
2020-02-28,702.252843634236
2020-02-29,680.724752403422
2020-03-01,680.724752403422
2020-03-02,676.500591194803
2020-03-03,674.469455029656
2020-03-04,695.715972878804
2020-03-05,699.266982837457
2020-03-06,699.543654123798
2020-03-07,708.331977900957
2020-03-08,684.823884506673
2020-03-09,686.822611996141
2020-03-10,787.173660002952
2020-03-11,789.037831409483
2020-03-12,782.009316113036
2020-03-13,781.784249543533
2020-03-14,2324.45801351015
2020-03-15,2216.86714573874
2020-03-16,2206.52267686335
2020-03-17,2158.1242641467
2020-03-18,2126.13573801125
2020-03-19,2150.25562239988
2020-03-20,2134.20388556798
2020-03-21,2184.93781959885
2020-03-22,2116.10226458145
2020-03-23,2076.82821280443
2020-03-24,2062.37726674721
2020-03-25,2134.23920498027
2020-03-26,2143.42493407518
2020-03-27,2151.20579538816
2020-03-28,2159.45856942084
2020-03-29,2157.91711269695
2020-03-30,2165.8469790245
2020-03-31,2179.6760509549
2020-04-01,2179.6760509549
2020-04-02,2183.74622953358
2020-04-03,2178.32449415145
2020-04-04,2195.17055923183
2020-04-05,2197.21006803254
2020-04-06,2195.62812669648
2020-04-07,2193.48738581165
2020-04-08,2231.38086668854
2020-04-09,2179.42931880131
2020-04-10,2183.3546337343
2020-04-11,2184.94326553486
2020-04-12,2201.50910864357
2020-04-13,1025.24856549564
2020-04-14,968.109526313556
2020-04-15,931.479654430029
2020-04-16,923.834762137943
2020-04-17,872.945300263835
2020-04-18,875.460988777244
2020-04-19,880.353623501392
2020-04-20,748.317356668163
2020-04-21,773.00598072452
2020-04-22,809.705580846473
2020-04-23,792.524646155101
2020-04-24,736.727803854268
2020-04-25,744.085417769293
2020-04-26,751.48506887362
2020-04-27,760.157883801846
2020-04-28,738.696092141925
2020-04-29,737.977158627804
2020-04-30,707.650579190596
2020-05-01,707.650579190596
2020-05-02,817.73096275926
2020-05-03,827.866262397317
2020-05-04,832.476863606866
2020-05-05,847.395328385674
2020-05-06,865.949524132531
2020-05-07,881.764587040454
2020-05-08,865.331044669717
2020-05-09,897.572487131936
2020-05-10,919.535375063117
2020-05-11,945.862782015937
2020-05-12,979.544575580176
2020-05-13,894.758563921337
2020-05-14,890.85104855715
2020-05-15,885.536446318951
2020-05-16,921.461667342876
2020-05-17,924.30781630246
2020-05-18,900.511628043051
2020-05-19,897.55488798109
2020-05-20,888.273660039388
2020-05-21,878.953404697976
2020-05-22,869.554519832672
2020-05-23,879.061624461407
2020-05-24,868.484067432203
2020-05-25,862.054806282515
2020-05-26,876.366880334288
2020-05-27,873.952873536407
2020-05-28,871.938590481961
2020-05-29,900.197687772162
2020-05-30,898.384011634409
2020-05-31,819.182235070151
