"","colSums(help)"
"1",1444.13087848278
"2",1640.56312379185
"3",1118.86450760025
"4",1495.59795047959
"5",1773.94332283898
"6",749.818397482523
"7",949.254537162473
"8",4311.7259661514
"9",1695.78642524965
"10",2154.65982529576
"11",1664.65663538875
"12",1397.7032305572
"13",1480.39153207252
"14",3380.06158979481
"15",2357.62955000421
"16",1026.37783502306
"17",1316.51500112523
"18",1664.7054516266
"19",4949.93604191639
"20",2184.15944011788
"21",1707.36333033419
"22",1013.14531930148
"23",8424.20224360971
"24",463.913415022047
"25",1905.76001339421
"26",1223.68441487986
"27",2815.75321800255
"28",3186.67644045346
"29",2493.57682289622
"30",1171.71086794635
"31",1190.30073778966
"32",1672.33225497483
"33",3497.68043018814
"34",1157.36858418027
"35",1600.66217564302
"36",1671.28768978288
"37",1271.19115876431
"38",1161.81600271997
"39",1037.78875798645
"40",2130.00249209301
"41",1406.2817237933
"42",3393.51544282626
"43",1866.76572993553
"44",498.841238044308
"45",592.856033880604
"46",677.068209760505
"47",1567.52960487027
"48",3229.77017955647
"49",978.868322236319
"50",1890.60208628434
"51",1469.84014621596
"52",582.499677237465
"53",749.243700428641
"54",2082.97758334763
"55",403.589802771216
"56",2326.42141528292
"57",664.64809653937
"58",1659.24704016261
"59",1694.82805224219
"60",1501.7590460403
"61",1193.62787033756
"62",816.177003157322
"63",1654.17661439434
"64",1844.35052368191
"65",1471.74854073636
"66",776.920422292438
"67",2451.73734938148
"68",1365.57311239542
"69",1307.3439686452
"70",2118.34175673964
"71",1196.02255997217
"72",1679.04060549287
"73",2344.00045768137
"74",6217.53264457213
"75",2422.19266026421
"76",1582.65355287301
"77",1633.79306922244
"78",1770.25893300498
"79",1662.02137459027
"80",4007.27599269073
"81",1634.04841832155
"82",1075.37789777653
"83",1146.5481141876
"84",1690.86027928448
"85",1708.4042554089
"86",3287.37737746708
"87",1420.70186912525
"88",915.918175444274
